packet_id,snr_db,tx_time,rx_time,hops_used
40,0.25,1781084034.7871518,1781084035.534837,0
41,2.75,1781084035.8929331,1781084036.6488059,0
42,0.25,1781084037.004807,1781084037.821034,0
43,-1.0,1781084038.1163101,1781084038.857994,0
44,2.5,1781084039.2278368,1781084039.976257,0
45,-2.25,1781084040.339369,1781084041.125045,0
46,-1.75,1781084041.4460218,1781084042.207125,0
47,1.5,1781084042.554812,1781084043.2873979,0
48,8.5,1781084043.666122,1781084044.6673322,1
49,-6.5,1781084044.776373,1781084045.507352,0
50,-5.0,1781084045.887896,1781084046.648124,0
51,-2.0,1781084046.999455,1781084047.761246,0
52,-4.0,1781084048.10488,1781084048.8574588,0
53,-2.25,1781084049.210909,1781084049.948402,0
54,11.5,1781084050.320986,1781084051.279569,1
55,12.25,1781084051.428714,1781084052.3228958,1
56,11.75,1781084052.536022,1781084053.422144,1
57,1.0,1781084053.647528,1781084054.39284,0
58,1.0,1781084054.759052,1781084055.497395,0
59,2.25,1781084055.8705611,1781084056.642005,0
60,3.0,1781084056.97532,1781084057.731127,0
61,1.5,1781084058.07871,1781084058.825301,0
62,3.0,1781084059.190293,1781084059.944256,0
63,3.5,1781084060.3016472,1781084061.075666,0
64,1.0,1781084061.412498,1781084062.1622112,0
65,3.0,1781084062.523802,1781084063.2863832,0
66,2.0,1781084063.6349041,1781084064.3898911,0
67,10.5,1781084064.746419,1781084065.6954,1
68,-2.0,1781084065.857976,1781084066.606535,0
69,10.75,1781084066.969505,1781084067.912672,1
70,11.25,1781084068.081015,1781084068.994668,1
71,3.0,1781084069.19088,1781084069.9532769,0
72,-3.5,1781084070.302521,1781084071.13885,0
73,-0.5,1781084071.4142962,1781084072.1344671,0
74,-2.5,1781084072.525821,1781084073.278722,0
75,-3.75,1781084073.6370509,1781084074.4000268,0
76,-0.75,1781084074.748256,1781084075.493694,0
77,3.0,1781084075.851608,1781084076.609845,0
78,1.75,1781084076.957731,1781084077.697155,0
79,3.75,1781084078.065931,1781084078.8433568,0
80,4.25,1781084079.1774342,1781084079.9502988,0
81,4.25,1781084080.288977,1781084081.061559,0
82,4.5,1781084081.397056,1781084082.172113,0
83,3.75,1781084082.5084958,1781084083.247604,0
84,2.0,1781084083.620076,1781084084.377771,0
85,1.25,1781084084.7315829,1781084085.481698,0
86,4.5,1781084085.839123,1781084086.61822,0
